rho,sigma,rho_sigma,P_mean,Ds_of_mean_P,mean_Ds,absolute_truncation_bound
2.000000000000000111e-01,9.300000000000000000e+01,1.860000000000000142e+01,1.220083600255411627e-02,2.700882216455877671e+00,2.701040192483958435e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.400000000000000000e+01,1.880000000000000071e+01,1.202586363377349671e-02,2.702214190049995857e+00,2.702373217132389094e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.500000000000000000e+01,1.900000000000000000e+01,1.185512898809891469e-02,2.703531874455352035e+00,2.703691951834453544e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.600000000000000000e+01,1.920000000000000284e+01,1.168848764329870685e-02,2.704835759047490740e+00,2.704996886363882247e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.700000000000000000e+01,1.940000000000000213e+01,1.152580149490329935e-02,2.706126305457586145e+00,2.706288482734767520e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.800000000000000000e+01,1.960000000000000142e+01,1.136693842044468432e-02,2.707403948950287909e+00,2.707567176580102153e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.900000000000000000e+01,1.980000000000000071e+01,1.121177196462792500e-02,2.708669099743681308e+00,2.708833378472611741e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.000000000000000000e+02,2.000000000000000000e+01,1.106018104394003616e-02,2.709922144272180589e+00,2.710087475188525996e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.010000000000000000e+02,2.020000000000000284e+01,1.091204966932159993e-02,2.711163446395940202e+00,2.711329830917417638e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.020000000000000000e+02,2.040000000000000213e+01,1.076726668563586162e-02,2.712393348557097017e+00,2.712560788419229318e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.030000000000000000e+02,2.060000000000000142e+01,1.062572552677003984e-02,2.713612172885355722e+00,2.713780670130271133e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.040000000000000000e+02,2.080000000000000071e+01,1.048732398529429038e-02,2.714820222254842097e+00,2.714989779220460697e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.050000000000000000e+02,2.100000000000000000e+01,1.035196399568720158e-02,2.716017781293170064e+00,2.716188400602925768e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.060000000000000000e+02,2.120000000000000284e+01,1.021955143021245106e-02,2.717205117346054521e+00,2.717376801898716554e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.070000000000000000e+02,2.140000000000000213e+01,1.008999590660083871e-02,2.718382481397601413e+00,2.718555234357501682e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.080000000000000000e+02,2.160000000000000142e+01,9.963210606755654522e-03,2.719550108948671330e+00,2.719723933736216903e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.090000000000000000e+02,2.180000000000000071e+01,9.839112105757497062e-03,2.720708220854189729e+00,2.720883121136371763e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.100000000000000000e+02,2.200000000000000000e+01,9.717620210498403160e-03,2.721857024122753099e+00,2.722033003803995044e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.110000000000000000e+02,2.220000000000000284e+01,9.598657807323839747e-03,2.722996712678071418e+00,2.723173775891081227e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.120000000000000000e+02,2.240000000000000213e+01,9.482150718106830897e-03,2.724127468084262205e+00,2.724305619181021321e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.130000000000000000e+02,2.260000000000000142e+01,9.368027564219288603e-03,2.725249460238262866e+00,2.725428703780989448e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.140000000000000000e+02,2.280000000000000071e+01,9.256219637904301856e-03,2.726362848027213293e+00,2.726543188779676274e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.150000000000000000e+02,2.300000000000000000e+01,9.146660780588041287e-03,2.727467779955406346e+00,2.727649222873967272e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.160000000000000000e+02,2.320000000000000284e+01,9.039287267702252743e-03,2.728564394741244126e+00,2.728746944965826149e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.170000000000000000e+02,2.340000000000000213e+01,8.934037699618297898e-03,2.729652821883993941e+00,2.729836484729549095e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.180000000000000000e+02,2.360000000000000142e+01,8.830852898321217906e-03,2.730733182203479714e+00,2.730917963151145766e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.190000000000000000e+02,2.380000000000000071e+01,8.729675809477590101e-03,2.731805588353231506e+00,2.731991493041432850e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.200000000000000000e+02,2.400000000000000000e+01,8.630451409574638882e-03,2.732870145307767284e+00,2.733057179523434410e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.210000000000000000e+02,2.420000000000000284e+01,8.533126617829624519e-03,2.733926950825968039e+00,2.734115120495753448e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.220000000000000000e+02,2.440000000000000213e+01,8.437650212588731005e-03,2.734976095890206071e+00,2.735165407071709076e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.230000000000000000e+02,2.460000000000000142e+01,8.343972751953287678e-03,2.736017665124175213e+00,2.736208123997296404e+00,0.000000000000000000e+00
