sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
9.000000000000000000e+01,1.835657941311897006e-03,1.834953990522660700e-03,2.791654514570206302e+00,2.796624612310324665e+00,4.970097740118362140e-03,-3.834869086412062700e-04
9.100000000000000000e+01,1.807569292111056236e-03,1.806826458086520414e-03,2.791221161353304669e+00,2.796200315412306292e+00,4.979154059001622556e-03,-4.109574265163118412e-04
9.200000000000000000e+01,1.780214802204723454e-03,1.779434773907310943e-03,2.790737845532235806e+00,2.795722021140087055e+00,4.984175607851248913e-03,-4.381652688464354739e-04
9.300000000000000000e+01,1.753568065788345311e-03,1.752752490884399751e-03,2.790205572415529911e+00,2.795190806540576833e+00,4.985234125046922316e-03,-4.650945234788705918e-04
9.400000000000000000e+01,1.727603884045878684e-03,1.726754369082997287e-03,2.789625321503404809e+00,2.794607723759956475e+00,4.982402256551665687e-03,-4.917301765332560137e-04
9.500000000000000000e+01,1.702298198336621741e-03,1.701416309002744482e-03,2.788998047368689726e+00,2.793973800748243974e+00,4.975753379554248568e-03,-5.180580786251498537e-04
9.600000000000000000e+01,1.677628027717456820e-03,1.676715289172266274e-03,2.788324680504547626e+00,2.793290041938243817e+00,4.965361433696191540e-03,-5.440649119533569333e-04
9.700000000000000000e+01,1.653571410478384737e-03,1.652629307748468496e-03,2.787606128140601047e+00,2.792557428901582650e+00,4.951300760981602878e-03,-5.697381582351335183e-04
9.800000000000000000e+01,1.630107349396140923e-03,1.629137327826148075e-03,2.786843275027686140e+00,2.791776920981304588e+00,4.933645953618448488e-03,-5.950660674907126690e-04
9.900000000000000000e+01,1.607215760435141451e-03,1.606219226187915496e-03,2.786036984192545418e+00,2.790949455902834497e+00,4.912471710289079141e-03,-6.200376276525032537e-04
1.000000000000000000e+02,1.584877424647156575e-03,1.583855745246452772e-03,2.785188097663221285e+00,2.790075950364571344e+00,4.887852701350059448e-03,-6.446425350095097428e-04
1.010000000000000000e+02,1.563073943041317455e-03,1.562028447951326667e-03,2.784297437166002087e+00,2.789157300607633783e+00,4.859863441631695480e-03,-6.688711654655454808e-04
1.020000000000000000e+02,1.541787694214375413e-03,1.540719675450806687e-03,2.783365804795267184e+00,2.788194382967470020e+00,4.828578172202835361e-03,-6.927145466113504568e-04
