rho,sigma,rho_sigma,P_mean,Ds_of_mean_P,mean_Ds,absolute_truncation_bound
2.000000000000000111e-01,1.160000000000000000e+02,2.320000000000000284e+01,9.039086336477007710e-03,2.724182882322600641e+00,2.724352399974234729e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.170000000000000000e+02,2.340000000000000213e+01,8.934006024294257123e-03,2.725325664190144881e+00,2.725495893369696887e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.180000000000000000e+02,2.360000000000000142e+01,8.830983123639071786e-03,2.726460940290028390e+00,2.726631871886934899e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.190000000000000000e+02,2.380000000000000071e+01,8.729960850133559186e-03,2.727588789476624420e+00,2.727760414600528982e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.200000000000000000e+02,2.400000000000000000e+01,8.630884440047524586e-03,2.728709284233783450e+00,2.728881594204642713e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.210000000000000000e+02,2.420000000000000284e+01,8.533701062611004362e-03,2.729822491093347736e+00,2.729995477431625073e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.220000000000000000e+02,2.440000000000000213e+01,8.438359736799733515e-03,2.730928471030416915e+00,2.731102125448014561e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.230000000000000000e+02,2.460000000000000142e+01,8.344811252332126270e-03,2.732027279837815126e+00,2.732201594229872299e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.240000000000000000e+02,2.480000000000000071e+01,8.253008094633319455e-03,2.733118968481261568e+00,2.733293934918161749e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.250000000000000000e+02,2.500000000000000000e+01,8.162904373537999483e-03,2.734203583434389184e+00,2.734379194154455295e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.260000000000000000e+02,2.520000000000000284e+01,8.074455755518440692e-03,2.735281166995935820e+00,2.735457414398704046e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.270000000000000000e+02,2.540000000000000213e+01,7.987619399237907980e-03,2.736351757589400968e+00,2.736528634229193457e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.280000000000000000e+02,2.560000000000000142e+01,7.902353894242378912e-03,2.737415390046351149e+00,2.737592888626573018e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.290000000000000000e+02,2.580000000000000071e+01,7.818619202615315761e-03,2.738472095873701662e+00,2.738650209241637601e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.300000000000000000e+02,2.600000000000000000e+01,7.736376603431337554e-03,2.739521903506155542e+00,2.739700624647817051e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.310000000000000000e+02,2.620000000000000284e+01,7.655588639854756482e-03,2.740564838544573778e+00,2.740744160580478539e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.320000000000000000e+02,2.640000000000000213e+01,7.576219068738610646e-03,2.741600923979675919e+00,2.741780840160723987e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.330000000000000000e+02,2.660000000000000142e+01,7.498232812588648787e-03,2.742630180403968332e+00,2.742810684107584329e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.340000000000000000e+02,2.680000000000000071e+01,7.421595913764919214e-03,2.743652626211290357e+00,2.743833710938398340e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.350000000000000000e+02,2.700000000000000000e+01,7.346275490801483857e-03,2.744668277783524069e+00,2.744849937155481090e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.360000000000000000e+02,2.720000000000000284e+01,7.272239696731871636e-03,2.745677149667801853e+00,2.745859377423564229e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.370000000000000000e+02,2.740000000000000213e+01,7.199457679314544105e-03,2.746679254741914988e+00,2.746862044735883579e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.380000000000000000e+02,2.760000000000000142e+01,7.127899543059129824e-03,2.747674604369768847e+00,2.747857950569748020e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.390000000000000000e+02,2.780000000000000071e+01,7.057536312959743728e-03,2.748663208548283166e+00,2.748847105033657812e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.400000000000000000e+02,2.800000000000000000e+01,6.988339899847432340e-03,2.749645076044423764e+00,2.749829517004316326e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.410000000000000000e+02,2.820000000000000284e+01,6.920283067278741769e-03,2.750620214524081231e+00,2.750805194256341402e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.420000000000000000e+02,2.840000000000000213e+01,6.853339399882286097e-03,2.751588630672076263e+00,2.751774143582195187e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.430000000000000000e+02,2.860000000000000142e+01,6.787483273089635512e-03,2.752550330305020942e+00,2.752736370904839358e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.440000000000000000e+02,2.880000000000000071e+01,6.722689824181008605e-03,2.753505318477930786e+00,2.753691881385166962e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.450000000000000000e+02,2.900000000000000000e+01,6.658934924580191955e-03,2.754453599581709877e+00,2.754640679519232638e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.460000000000000000e+02,2.920000000000000284e+01,6.596195153336937775e-03,2.755395177435083109e+00,2.755582769230605855e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.470000000000000000e+02,2.940000000000000213e+01,6.534447771738238070e-03,2.756330055371345011e+00,2.756518153957052242e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.480000000000000000e+02,2.960000000000000142e+01,6.473670698993424719e-03,2.757258236318096412e+00,2.757446836730239603e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.490000000000000000e+02,2.980000000000000071e+01,6.413842488940868156e-03,2.758179722871280326e+00,2.758368820250423070e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.500000000000000000e+02,3.000000000000000000e+01,6.354942307727069230e-03,2.759094517364393262e+00,2.759284106955218530e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.510000000000000000e+02,3.020000000000000284e+01,6.296949912411422927e-03,2.760002621933198785e+00,2.760192699084574208e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.520000000000000000e+02,3.040000000000000213e+01,6.239845630452648360e-03,2.760904038574231389e+00,2.761094598739558759e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.530000000000000000e+02,3.060000000000000142e+01,6.183610340035130236e-03,2.761798769201082582e+00,2.761989807938486585e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.540000000000000000e+02,3.080000000000000071e+01,6.128225451195601879e-03,2.762686815695000409e+00,2.762878328667520922e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.550000000000000000e+02,3.100000000000000000e+01,6.073672887712892356e-03,2.763568179950729231e+00,2.763760162926535369e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.560000000000000000e+02,3.120000000000000284e+01,6.019935069725196666e-03,2.764442863920996363e+00,2.764635312774105014e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.570000000000000000e+02,3.140000000000000213e+01,5.966994897041292580e-03,2.765310869655711823e+00,2.765503780366252773e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.580000000000000000e+02,3.160000000000000142e+01,5.914835733113932639e-03,2.766172199338285953e+00,2.766365567992858487e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.590000000000000000e+02,3.180000000000000071e+01,5.863441389645137822e-03,2.767026855319028478e+00,2.767220678111246279e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.600000000000000000e+02,3.200000000000000000e+01,5.812796111794830620e-03,2.767874840145484683e+00,2.768069113376358636e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.610000000000000000e+02,3.220000000000000284e+01,5.762884563965560251e-03,2.768716156589848598e+00,2.768910876668475129e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.620000000000000000e+02,3.239999999999999858e+01,5.713691816137602721e-03,2.769550807674161508e+00,2.769745971117955285e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.630000000000000000e+02,3.260000000000000142e+01,5.665203330729849489e-03,2.770378796692516854e+00,2.770574400127749470e+00,0.000000000000000000e+00
