sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
6.500000000000000000e+01,2.888062830071050358e-03,2.897873098353185000e-03,2.780653339147317826e+00,2.777537722942679643e+00,-3.115616204638183007e-03,3.396833399879062299e-03
6.600000000000000000e+01,2.827409444798795798e-03,2.837080468953227016e-03,2.781876612340608901e+00,2.778819548058835132e+00,-3.057064281773769210e-03,3.420454074036571868e-03
6.700000000000000000e+01,2.768888523889281948e-03,2.778422573102531153e-03,2.783008283528066951e+00,2.780010440270254790e+00,-2.997843257812160545e-03,3.443276654510274426e-03
6.800000000000000000e+01,2.712396911990591717e-03,2.721796233718785495e-03,2.784050240486529049e+00,2.781112366353726273e+00,-2.937874132802775762e-03,3.465319432654823117e-03
6.900000000000000000e+01,2.657837799255130095e-03,2.667104614804144229e-03,2.785004332749903444e+00,2.782127247209444931e+00,-2.877085540458512725e-03,3.486599352154229337e-03
7.000000000000000000e+01,2.605120248415635116e-03,2.614256749370891860e-03,2.785872372152573107e+00,2.783056958442914119e+00,-2.815413709658987074e-03,3.507132141333357822e-03
7.100000000000000000e+01,2.554158763166610585e-03,2.563167108554244029e-03,2.786656133382443112e+00,2.783903331000928461e+00,-2.752802381514651842e-03,3.526932435658380882e-03
7.200000000000000000e+01,2.504872893725342865e-03,2.513755207801649915e-03,2.787357354544719445e+00,2.784668151856486862e+00,-2.689202688232583682e-03,3.546013890987076422e-03
7.300000000000000000e+01,2.457186875909318259e-03,2.465945246488568474e-03,2.787977737736646144e+00,2.785353164739199805e+00,-2.624572997446339429e-03,3.564389288059022221e-03
7.400000000000000000e+01,2.411029300472002611e-03,2.419665777714245531e-03,2.788518949632699417e+00,2.785960070903558350e+00,-2.558878729141067510e-03,3.582070628736166995e-03
7.500000000000000000e+01,2.366332809794644606e-03,2.374849405385275319e-03,2.788982622079934526e+00,2.786490529930096827e+00,-2.492092149837699111e-03,3.599069224489159780e-03
