sigma,P_mean,Ds_of_mean_P,mean_of_Ds
2.060000000000000000e+02,9.645173988622846939e-04,1.566200766440478676e+00,1.566482772350243469e+00
2.070000000000000000e+02,9.608721570447485011e-04,1.561549921568093247e+00,1.561827157248529829e+00
2.080000000000000000e+02,9.572688489034914981e-04,1.556931558394253345e+00,1.557203908444996454e+00
2.090000000000000000e+02,9.537067624258754915e-04,1.552345520404292190e+00,1.552612872385315868e+00
2.100000000000000000e+02,9.501852009588451428e-04,1.547791649071079689e+00,1.548053893509621304e+00
2.110000000000000000e+02,9.467034828110420337e-04,1.543269783961449981e+00,1.543526814357262023e+00
2.120000000000000000e+02,9.432609408669335354e-04,1.538779762840245757e+00,1.539031475668115823e+00
2.130000000000000000e+02,9.398569222125340754e-04,1.534321421771376759e+00,1.534567716480914390e+00
2.140000000000000000e+02,9.364907877723288154e-04,1.529894595215207875e+00,1.530135374228812406e+00
2.150000000000000000e+02,9.331619119570120280e-04,1.525499116123307131e+00,1.525734284831901100e+00
2.160000000000000000e+02,9.298696823216759909e-04,1.521134816030563996e+00,1.521364282786918487e+00
2.170000000000000000e+02,9.266134992340917427e-04,1.516801525143968599e+00,1.517025201254476041e+00
2.180000000000000000e+02,9.233927755527485256e-04,1.512499072428800106e+00,1.512716872143282210e+00
2.190000000000000000e+02,9.202069363143165715e-04,1.508227285692882669e+00,1.508439126191942092e+00
2.200000000000000000e+02,9.170554184302229326e-04,1.503985991666909827e+00,1.504191793048292869e+00
2.210000000000000000e+02,9.139376703920379721e-04,1.499775016083184420e+00,1.499974701346302952e+00
2.220000000000000000e+02,9.108531519853756619e-04,1.495594183751731476e+00,1.495787678780258645e+00
2.230000000000000000e+02,9.078013340120322976e-04,1.491443318633903781e+00,1.491630552176957725e+00
2.240000000000000000e+02,9.047816980200878122e-04,1.487322243913331787e+00,1.487503147565640171e+00
2.250000000000000000e+02,9.017937360417155497e-04,1.483230782065000808e+00,1.483405290245307206e+00
2.260000000000000000e+02,8.988369503384412672e-04,1.479168754922477014e+00,1.479336804850353460e+00
2.270000000000000000e+02,8.959108531536163090e-04,1.475135983741701073e+00,1.475297515413780181e+00
2.280000000000000000e+02,8.930149664718702246e-04,1.471132289263847204e+00,1.471287245428598123e+00
2.290000000000000000e+02,8.901488217853152553e-04,1.467157491775635814e+00,1.467305817906984444e+00
2.300000000000000000e+02,8.873119598662912704e-04,1.463211411167851583e+00,1.463353055437689232e+00
2.310000000000000000e+02,8.845039305464366978e-04,1.459293866991737243e+00,1.459428780241587287e+00
2.320000000000000000e+02,8.817242925018908351e-04,1.455404678513101624e+00,1.455532814225025895e+00
2.330000000000000000e+02,8.789726130444284807e-04,1.451543664765736485e+00,1.451664979031991543e+00
2.340000000000000000e+02,8.762484679183405118e-04,1.447710644601893915e+00,1.447825096093951602e+00
2.350000000000000000e+02,8.735514411028836830e-04,1.443905436741349080e+00,1.444012986678470112e+00
2.360000000000000000e+02,8.708811246201205369e-04,1.440127859819157363e+00,1.440228471935781851e+00
2.370000000000000000e+02,8.682371183479850596e-04,1.436377732431147747e+00,1.436471372943827651e+00
2.380000000000000000e+02,8.656190298384106941e-04,1.432654873178339283e+00,1.432741510752324032e+00
2.390000000000000000e+02,8.630264741403636088e-04,1.428959100709433994e+00,1.429038706424352601e+00
2.400000000000000000e+02,8.604590736276322531e-04,1.425290233762103620e+00,1.425362781077055940e+00
2.410000000000000000e+02,8.579164578312242296e-04,1.421648091202058373e+00,1.421713555920962158e+00
2.420000000000000000e+02,8.553982632762356089e-04,1.418032492061999328e+00,1.418090852297648530e+00
2.430000000000000000e+02,8.529041333230461030e-04,1.414443255577934933e+00,1.414494491716083546e+00
2.440000000000000000e+02,8.504337180127239781e-04,1.410880201224185893e+00,1.410924295887816093e+00
2.450000000000000000e+02,8.479866739164984612e-04,1.407343148748739114e+00,1.407380086760695814e+00
2.460000000000000000e+02,8.455626639891867732e-04,1.403831918204943463e+00,1.403861686551560073e+00
2.470000000000000000e+02,8.431613574264560946e-04,1.400346329982966598e+00,1.400368917777385702e+00
2.480000000000000000e+02,8.407824295258038011e-04,1.396886204841195189e+00,1.396901603285550797e+00
2.490000000000000000e+02,8.384255615511437571e-04,1.393451363934727461e+00,1.393459566282911677e+00
2.500000000000000000e+02,8.360904406008994602e-04,1.390041628843121879e+00,1.390042630363687026e+00
2.510000000000000000e+02,8.337767594794916063e-04,1.386656821597846534e+00,1.386650619536232476e+00
2.520000000000000000e+02,8.314842165721266160e-04,1.383296764708002557e+00,1.383283358248814876e+00
2.530000000000000000e+02,8.292125157227852933e-04,1.379961281184857391e+00,1.379940671414364939e+00
2.540000000000000000e+02,8.269613661153229264e-04,1.376650194565946395e+00,1.376622384434377455e+00
2.550000000000000000e+02,8.247304821575837967e-04,1.373363328937892813e+00,1.373328323221684633e+00
2.560000000000000000e+02,8.225195833684504059e-04,nan,nan
