sigma,P_mean,Ds_of_mean_P,mean_of_Ds
1.580000000000000000e+02,1.475689100174072677e-03,1.860272213162246890e+00,1.878571870330265847e+00
1.590000000000000000e+02,1.467063012205390565e-03,1.856793770533522459e+00,1.875119290071874723e+00
1.600000000000000000e+02,1.458556814249273217e-03,1.853333542777578558e+00,1.871683697984957151e+00
1.610000000000000000e+02,1.450168060531046915e-03,1.849891465838659599e+00,1.868265047871755957e+00
1.620000000000000000e+02,1.441894370030588840e-03,1.846467474307905254e+00,1.864863292075061851e+00
1.630000000000000000e+02,1.433733424385064386e-03,1.843061501489281939e+00,1.861478381539186211e+00
1.640000000000000000e+02,1.425682965871800456e-03,1.839673479462441419e+00,1.858110265868270217e+00
1.650000000000000000e+02,1.417740795467773481e-03,1.836303339143618985e+00,1.854758893382820517e+00
1.660000000000000000e+02,1.409904770982360438e-03,1.832951010344787024e+00,1.851424211174691470e+00
1.670000000000000000e+02,1.402172805260170751e-03,1.829616421829626471e+00,1.848106165159603576e+00
1.680000000000000000e+02,1.394542864450941735e-03,1.826299501368862543e+00,1.844804700128447106e+00
1.690000000000000000e+02,1.387012966343597773e-03,1.823000175792866218e+00,1.841519759796622857e+00
1.700000000000000000e+02,1.379581178761762070e-03,1.819718371041875615e+00,1.838251286851648514e+00
1.710000000000000000e+02,1.372245618018089631e-03,1.816454012215934721e+00,1.834999222999729618e+00
1.720000000000000000e+02,1.365004447424950995e-03,1.813207023621812741e+00,1.831763509009974644e+00
1.730000000000000000e+02,1.357855875859101651e-03,1.809977328818667575e+00,1.828544084757859345e+00
1.740000000000000000e+02,1.350798156378082851e-03,1.806764850662236688e+00,1.825340889267005995e+00
1.750000000000000000e+02,1.343829584886209287e-03,1.803569511347200560e+00,1.822153860749433862e+00
1.760000000000000000e+02,1.336948498848099243e-03,1.800391232448151246e+00,1.818982936644843340e+00
1.770000000000000000e+02,1.330153276047795451e-03,1.797229934959499564e+00,1.815828053658363306e+00
1.780000000000000000e+02,1.323442333391615941e-03,1.794085539333336587e+00,1.812689147797125422e+00
1.790000000000000000e+02,1.316814125752966986e-03,1.790957965516142725e+00,1.809566154405688687e+00
1.800000000000000000e+02,1.310267144857417887e-03,1.787847132984687670e+00,1.806459008200379746e+00
1.810000000000000000e+02,1.303799918206426057e-03,1.784752960780082720e+00,1.803367643302330237e+00
1.820000000000000000e+02,1.297411008038170657e-03,1.781675367540896060e+00,1.800291993269723445e+00
1.830000000000000000e+02,1.291099010324019396e-03,1.778614271535013502e+00,1.797231991128736661e+00
1.840000000000000000e+02,1.284862553799225125e-03,1.775569590690107225e+00,1.794187569403485005e+00
1.850000000000000000e+02,1.278700299026506700e-03,1.772541242624041224e+00,1.791158660145435455e+00
1.860000000000000000e+02,1.272610937491224165e-03,1.769529144673052334e+00,1.788145194961334949e+00
1.870000000000000000e+02,1.266593190726934565e-03,1.766533213918953793e+00,1.785147105040356008e+00
1.880000000000000000e+02,1.260645809470140131e-03,1.763553367216424528e+00,1.782164321180762512e+00
1.890000000000000000e+02,1.254767572843113604e-03,1.760589521218258957e+00,1.779196773815160837e+00
1.900000000000000000e+02,1.248957287563727146e-03,1.757641592400423614e+00,1.776244393035462776e+00
1.910000000000000000e+02,1.243213787181252430e-03,1.754709497085821690e+00,1.773307108616583472e+00
1.920000000000000000e+02,1.237535931337156595e-03,1.751793151466953580e+00,1.770384850039590452e+00
1.930000000000000000e+02,1.231922605049946655e-03,1.748892471628394230e+00,1.767477546514407472e+00
1.940000000000000000e+02,1.226372718023163375e-03,1.746007373568569276e+00,1.764585127001113252e+00
1.950000000000000000e+02,1.220885203975659175e-03,1.743137773219491482e+00,1.761707520231041046e+00
1.960000000000000000e+02,1.215459019993344117e-03,1.740283586467100463e+00,1.758844654727241164e+00
1.970000000000000000e+02,1.210093145901588747e-03,1.737444729170685598e+00,1.755996458824113926e+00
1.980000000000000000e+02,1.204786583657545696e-03,1.734621117180401573e+00,1.753162860686066082e+00
1.990000000000000000e+02,1.199538356761649296e-03,1.731812666356313590e+00,1.750343788326606198e+00
2.000000000000000000e+02,1.194347509687595631e-03,1.729019292584415446e+00,1.747539169625530020e+00
2.010000000000000000e+02,1.189213107330149271e-03,1.726240911793277766e+00,1.744748932346305903e+00
2.020000000000000000e+02,1.184134234470112478e-03,1.723477439970375835e+00,1.741973004153029692e+00
2.030000000000000000e+02,1.179109995255862983e-03,1.720728793176956151e+00,1.739211312626235850e+00
2.040000000000000000e+02,1.174139512700853819e-03,1.717994887562956041e+00,1.736463785278803407e+00
2.050000000000000000e+02,1.169221928196521182e-03,1.715275639380859030e+00,1.733730349570813400e+00
2.060000000000000000e+02,1.164356401040046946e-03,1.712570964999633683e+00,1.731010932924302859e+00
2.070000000000000000e+02,1.159542107976459756e-03,1.709880780917395704e+00,1.728305462737170561e+00
2.080000000000000000e+02,1.154778242754571620e-03,1.707205003774650232e+00,1.725613866397289753e+00
2.090000000000000000e+02,1.150064015696264071e-03,1.704543550365627436e+00,1.722936071295328997e+00
2.100000000000000000e+02,1.145398653278673724e-03,1.701896337650365520e+00,1.720272004837672730e+00
2.110000000000000000e+02,1.140781397728813425e-03,1.699263282765876681e+00,1.717621594458820233e+00
2.120000000000000000e+02,1.136211506630223919e-03,1.696644303036477286e+00,1.714984767633114027e+00
2.130000000000000000e+02,1.131688252541225397e-03,1.694039315985046867e+00,1.712361451886838637e+00
2.140000000000000000e+02,1.127210922624387063e-03,1.691448239341835302e+00,1.709751574808659580e+00
2.150000000000000000e+02,1.122778818286833315e-03,1.688870991054324477e+00,1.707155064060746685e+00
2.160000000000000000e+02,1.118391254831015494e-03,1.686307489296872131e+00,1.704571847389530159e+00
2.170000000000000000e+02,1.114047561115603371e-03,1.683757652478830247e+00,1.702001852635238510e+00
2.180000000000000000e+02,1.109747079226159391e-03,1.681221399253126636e+00,1.699445007741785751e+00
2.190000000000000000e+02,1.105489164155265417e-03,1.678698648524443948e+00,1.696901240766380603e+00
2.200000000000000000e+02,1.101273183491794727e-03,1.676189319456703242e+00,1.694370479888337222e+00
