k0,sigma,P_mean,Ds_of_mean_P,mean_Ds
5.000000000000000000e-01,1.310000000000000000e+02,9.616231171184529483e-04,2.953999890316663102e+00,2.954137846103220166e+00
5.000000000000000000e-01,1.320000000000000000e+02,9.508838349363750529e-04,2.953801481829210207e+00,2.953941468846478013e+00
5.000000000000000000e-01,1.330000000000000000e+02,9.403449195375248671e-04,2.953580961307713526e+00,2.953723077306386280e+00
5.000000000000000000e-01,1.340000000000000000e+02,9.300012420686422192e-04,2.953338661000089793e+00,2.953483003587793476e+00
5.000000000000000000e-01,1.350000000000000000e+02,9.198478402615590122e-04,2.953074906603595284e+00,2.953221573165413005e+00
5.000000000000000000e-01,1.360000000000000000e+02,9.098799118836798337e-04,2.952790017438989167e+00,2.952939105061407332e+00
5.000000000000000000e-01,1.370000000000000000e+02,9.000928084903943305e-04,2.952484306620266175e+00,2.952635912017801623e+00
5.000000000000000000e-01,1.380000000000000000e+02,8.904820294634634105e-04,2.952158081218829722e+00,2.952312300663804567e+00
5.000000000000000000e-01,1.390000000000000000e+02,8.810432163203892010e-04,2.951811642422219162e+00,2.951968571677457298e+00
5.000000000000000000e-01,1.400000000000000000e+02,8.717721472806458372e-04,2.951445285687700704e+00,2.951605019942248553e+00
5.000000000000000000e-01,1.410000000000000000e+02,8.626647320754941579e-04,2.951059300891384574e+00,2.951221934699170379e+00
5.000000000000000000e-01,1.420000000000000000e+02,8.537170069888560392e-04,2.950653972473214814e+00,2.950819599694279205e+00
5.000000000000000000e-01,1.430000000000000000e+02,8.449251301174687256e-04,2.950229579575843530e+00,2.950398293320689813e+00
5.000000000000000000e-01,1.440000000000000000e+02,8.362853768392090143e-04,2.949786396180857473e+00,2.949958288757361213e+00
5.000000000000000000e-01,1.450000000000000000e+02,8.277941354790987203e-04,2.949324691239918916e+00,2.949499854103144969e+00
5.000000000000000000e-01,1.460000000000000000e+02,8.194479031631255080e-04,2.948844728801781390e+00,2.949023252506367765e+00
5.000000000000000000e-01,1.470000000000000000e+02,8.112432818505353272e-04,2.948346768136159035e+00,2.948528742291195659e+00
5.000000000000000000e-01,1.480000000000000000e+02,8.031769745358044400e-04,2.947831063853003197e+00,2.948016577079517475e+00
5.000000000000000000e-01,1.490000000000000000e+02,7.952457816119669690e-04,2.947297866018509627e+00,2.947487005909491753e+00
5.000000000000000000e-01,1.500000000000000000e+02,7.874465973874475834e-04,2.946747420267621820e+00,2.946940273350465045e+00
5.000000000000000000e-01,1.510000000000000000e+02,7.797764067489671184e-04,2.946179967913055364e+00,2.946376619614188730e+00
5.000000000000000000e-01,1.520000000000000000e+02,7.722322819635069882e-04,2.945595746050694963e+00,2.945796280662762889e+00
